     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  8  2   5.0 1005 255  7.4 3  4.8  87    0    0 284 -336  2
3943500 3036500  1  8  3   5.0 1006 259  7.9 3  4.7  86    0    0 268 -335  2
3943500 3036500  1  8  4   4.9 1007 249  7.0 4  4.8  88    0    0 273 -335  2
3943500 3036500  1  8  5   4.6 1008 244  6.1 5  4.7  88    0    0 283 -335  2
3943500 3036500  1  8  6   4.6 1009 241  5.0 6  4.7  89    0    0 292 -334  2
3943500 3036500  1  8  7   4.6 1010 231  5.7 3  4.7  90    0    0 281 -332  2
3943500 3036500  1  8  8   4.2 1011 232  5.7 3  4.6  89    0    0 264 -329  2
3943500 3036500  1  8  9   4.3 1012 231  6.0 5  4.5  87    0    0 272 -329  2
3943500 3036500  1  8 10   4.5 1012 226  6.2 5  4.5  87    0   21 282 -330  2
3943500 3036500  1  8 11   4.7 1013 231  6.3 8  4.6  88    0   40 299 -331  2
3943500 3036500  1  8 12   5.2 1014 242  6.5 5  4.8  88   11   87 302 -334  2
3943500 3036500  1  8 13   5.4 1014 235  5.8 3  4.9  88   48  107 276 -336  2
3943500 3036500  1  8 14   5.4 1014 232  5.6 6  4.9  88    8   81 282 -338  2
3943500 3036500  1  8 15   5.7 1014 230  5.4 6  5.0  88    0   36 300 -338  2
3943500 3036500  1  8 16   5.8 1014 216  4.5 8  5.1  89    0   13 313 -336  2
3943500 3036500  1  8 17   5.9 1014 213  4.6 8  5.1  89    0    0 322 -334  2
3943500 3036500  1  8 18   5.8 1014 204  4.7 7  5.2  90    0    0 316 -332  2
3943500 3036500  1  8 19   5.8 1014 196  4.6 8  5.1  90    0    0 314 -332  2
3943500 3036500  1  8 20   5.6 1014 190  4.2 8  5.1  89    0    0 315 -331  2
3943500 3036500  1  8 21   5.7 1014 182  4.2 7  5.1  89    0    0 308 -331  2
3943500 3036500  1  8 22   5.9 1014 171  3.9 8  5.0  88    0    0 309 -331  2
3943500 3036500  1  8 23   5.7 1013 167  4.0 8  5.0  87    0    0 315 -332  2
3943500 3036500  1  8 24   5.1 1012 163  4.3 6  4.9  88    0    0 306 -333  2
3943500 3036500  1  9  1   4.7 1012 173  4.8 4  4.8  88    0    0 283 -334  2
3943500 3036500  1  9  2   4.2 1011 183  5.0 1  4.6  89    0    0 255 -333  2
3943500 3036500  1  9  3   4.4 1011 171  4.3 4  4.5  88    0    0 252 -330  2
3943500 3036500  1  9  4   4.2 1010 170  5.0 5  4.5  87    0    0 272 -327  2
3943500 3036500  1  9  5   4.5 1009 170  5.5 5  4.5  86    0    0 274 -325  2
3943500 3036500  1  9  6   4.8 1008 167  6.1 7  4.5  84    0    0 286 -326  2
3943500 3036500  1  9  7   5.1 1007 172  6.7 8  4.4  82    0    0 307 -327  2
3943500 3036500  1  9  8   5.1 1007 180  6.7 8  4.4  81    0    0 317 -327  2
3943500 3036500  1  9  9   4.9 1006 189  6.1 7  4.5  83    0    0 313 -327  2
3943500 3036500  1  9 10   5.0 1006 181  6.0 8  4.7  86    0    6 315 -328  2
3943500 3036500  1  9 11   5.4 1006 198  5.3 8  4.8  87    0   39 324 -329  2
3943500 3036500  1  9 12   5.9 1007 197  5.5 5  5.0  87    9   95 306 -332  2
3943500 3036500  1  9 13   6.1 1007 203  5.8 5  5.1  87   14  107 284 -334  2
3943500 3036500  1  9 14   6.1 1006 206  5.5 6  5.2  88    7   87 289 -336  2
3943500 3036500  1  9 15   6.4 1006 210  5.0 6  5.2  87   10   71 298 -337  2
3943500 3036500  1  9 16   6.2 1006 212  5.3 7  5.2  86    0   13 308 -334  2
3943500 3036500  1  9 17   5.5 1007 223  4.6 6  5.1  87    0    0 308 -332  2
3943500 3036500  1  9 18   5.4 1007 224  4.9 3  4.9  87    0    0 278 -333  2
3943500 3036500  1  9 19   5.1 1008 221  5.3 3  4.7  84    0    0 259 -334  2
3943500 3036500  1  9 20   4.6 1008 220  5.3 3  4.6  85    0    0 258 -332  2
3943500 3036500  1  9 21   4.1 1008 214  5.3 1  4.5  86    0    0 240 -328  2
3943500 3036500  1  9 22   4.0 1009 214  5.7 2  4.5  88    0    0 229 -324  2
3943500 3036500  1  9 23   4.3 1009 209  5.7 4  4.5  88    0    0 245 -322  2
3943500 3036500  1  9 24   4.6 1009 208  5.9 7  4.5  86    0    0 272 -319  2
3943500 3036500  1 10  1   4.6 1009 208  5.8 6  4.5  84    0    0 281 -317  2
3943500 3036500  1 10  2   4.7 1009 207  5.8 6  4.5  84    0    0 271 -316  2
3943500 3036500  1 10  3   4.6 1009 198  4.8 7  4.5  85    0    0 274 -316  2
3943500 3036500  1 10  4   4.8 1009 197  4.9 8  4.6  87    0    0 285 -316  2
3943500 3036500  1 10  5   4.9 1009 197  5.0 8  4.7  88    0    0 291 -316  2
3943500 3036500  1 10  6   4.9 1009 182  5.1 8  4.7  88    0    0 292 -316  2
