     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  8 24   1.6  998  36  2.8 7  4.1  94    0    0 295 -321  1
3943500 3036500  1  9  1   1.5  999  28  3.9 8  4.0  94    0    0 296 -323  1
3943500 3036500  1  9  2   1.6 1000  41  7.0 8  4.0  93    0    0 302 -324  1
3943500 3036500  1  9  3   1.5 1000  23  6.7 8  3.9  92    0    0 303 -324  1
3943500 3036500  1  9  4   1.4 1001  22  6.4 8  3.9  92    0    0 303 -322  1
3943500 3036500  1  9  5   1.1 1002  34  5.1 7  3.9  92    0    0 297 -321  1
3943500 3036500  1  9  6   0.9 1003   6  5.7 8  3.8  93    0    0 296 -318  1
3943500 3036500  1  9  7   0.8 1003  11  4.8 8  3.8  92    0    0 301 -316  1
3943500 3036500  1  9  8   0.7 1004  21  4.4 7  3.6  88    0    0 295 -316  1
3943500 3036500  1  9  9   0.5 1004  16  3.8 7  3.4  84    0    0 288 -317  1
3943500 3036500  1  9 10   0.2 1004 359  3.3 5  3.3  83    0   24 276 -318  1
3943500 3036500  1  9 11   0.6 1005  20  4.0 4  3.3  83   11   71 257 -319  1
3943500 3036500  1  9 12   0.8 1006  25  3.5 1  3.3  83   81   94 234 -320  1
3943500 3036500  1  9 13   1.2 1007  31  3.7 2  3.4  82   93  101 224 -321  1
3943500 3036500  1  9 14   1.4 1007  27  4.4 3  3.3  79   48   96 237 -321  1
3943500 3036500  1  9 15   1.0 1007  17  3.5 5  3.2  76   14   68 254 -320  1
3943500 3036500  1  9 16   0.3 1008  28  2.9 4  3.1  76    0   24 258 -319  1
3943500 3036500  1  9 17  -1.1 1008  23  2.2 2  2.9  78    0    0 239 -318  1
3943500 3036500  1  9 18  -2.2 1009 357  1.8 1  2.8  83    0    0 219 -316  1
3943500 3036500  1  9 19  -2.5 1009 352  1.7 0  2.8  88    0    0 206 -316  1
3943500 3036500  1  9 20  -2.4 1010 354  1.7 0  2.9  92    0    0 197 -316  1
3943500 3036500  1  9 21  -2.6 1010  10  1.4 0  3.0  94    0    0 195 -316  1
3943500 3036500  1  9 22  -3.2 1011 349  1.3 2  2.9  94    0    0 206 -315  1
3943500 3036500  1  9 23  -2.3 1011 354  1.7 3  2.9  94    0    0 224 -313  1
3943500 3036500  1  9 24  -1.8 1012 344  1.5 4  3.0  92    0    0 238 -313  1
3943500 3036500  1 10  1  -1.9 1012 357  1.3 6  3.0  89    0    0 255 -312  1
3943500 3036500  1 10  2  -2.9 1012   2  1.3 5  2.9  90    0    0 259 -310  1
3943500 3036500  1 10  3  -3.5 1013 344  1.1 4  2.7  91    0    0 245 -310  1
3943500 3036500  1 10  4  -4.3 1013 346  1.2 4  2.6  93    0    0 237 -310  1
3943500 3036500  1 10  5  -4.1 1013  11  1.2 3  2.6  94    0    0 231 -310  1
3943500 3036500  1 10  6  -4.4 1013   3  0.9 3  2.6  93    0    0 226 -309  1
3943500 3036500  1 10  7  -4.7 1014 341  1.1 3  2.5  94    0    0 225 -307  1
3943500 3036500  1 10  8  -4.4 1014 326  1.4 1  2.5  94    0    0 214 -304  1
3943500 3036500  1 10  9  -4.7 1014 139  1.2 2  2.5  94    0    0 209 -302  1
3943500 3036500  1 10 10  -2.6 1015  18  0.7 4  2.7  94    8   37 225 -301  1
3943500 3036500  1 10 11  -0.8 1015 348  0.6 2  3.0  89   32   76 230 -302  1
3943500 3036500  1 10 12  -0.7 1016  95  0.9 2  3.1  87   57  101 223 -306  1
3943500 3036500  1 10 13   1.1 1016 165  1.1 1  2.9  77   83  107 219 -309  1
3943500 3036500  1 10 14   1.0 1016 121  1.1 1  2.6  65   71   96 215 -310  1
3943500 3036500  1 10 15  -0.1 1016 124  1.8 2  2.7  68   34   72 217 -310  1
3943500 3036500  1 10 16  -0.9 1016 124  2.0 4  2.9  79    0   25 227 -308  1
3943500 3036500  1 10 17  -1.9 1015 104  1.4 6  3.0  86    0    0 237 -304  1
3943500 3036500  1 10 18  -1.9 1016 100  1.3 6  2.9  89    0    0 238 -301  1
3943500 3036500  1 10 19  -2.3 1016  98  1.6 2  2.9  89    0    0 222 -300  1
3943500 3036500  1 10 20  -2.9 1016  96  1.8 1  2.8  90    0    0 201 -299  1
3943500 3036500  1 10 21  -2.7 1016  84  1.6 2  2.8  90    0    0 199 -299  1
3943500 3036500  1 10 22  -2.1 1016  88  1.6 5  2.8  87    0    0 213 -299  1
3943500 3036500  1 10 23  -2.1 1016  74  2.2 5  2.8  86    0    0 224 -299  1
3943500 3036500  1 10 24  -1.8 1016  69  2.1 7  2.8  85    0    0 231 -298  1
3943500 3036500  1 11  1  -1.9 1016  55  2.7 7  2.8  86    0    0 238 -298  1
3943500 3036500  1 11  2  -1.7 1016  51  2.4 7  2.9  88    0    0 236 -298  1
3943500 3036500  1 11  3  -1.9 1016  55  2.3 7  3.0  89    0    0 237 -297  1
3943500 3036500  1 11  4  -2.1 1016  58  2.5 6  2.9  88    0    0 232 -295  1
3943500 3036500  1 11  5  -2.7 1015  22  2.9 5  2.8  88    0    0 222 -294  1
